date,idx,nonrspo,composite
2014-03-06,1152.490933,1105.953994,1092.361251
2014-03-07,1158.680379,1118.994114,1100.381474
2014-03-10,1148.473857,1116.359744,1092.299212
2014-03-11,1161.562824,1128.325494,1104.025812
2014-03-12,1160.805938,1128.741251,1102.634391
2014-03-13,1155.40783,1129.02261,1096.278318
2014-03-14,1145.637259,1120.530782,1087.317322
2014-03-17,1155.176706,1111.9779,1091.273144
2014-03-18,1154.445557,1110.574325,1091.397817
2014-03-19,1151.97645,1111.431736,1088.870389
2014-03-20,1136.598389,1100.632409,1074.428071
2014-03-21,1132.475574,1099.315731,1071.670505
2014-03-24,1140.966128,1108.948069,1081.692673
2014-03-25,1136.963903,1106.801952,1079.094004
2014-03-26,1143.429391,1111.530586,1085.733124
2014-03-27,1146.681227,1114.229328,1089.576775
2014-03-28,1156.343766,1125.213206,1099.717911
2014-03-31,1154.96842,1127.020548,1097.216457
2014-04-01,1155.845713,1131.371691,1098.833264
2014-04-02,1156.207221,1136.47089,1098.826927
2014-04-03,1156.981124,1133.974714,1100.570154
2014-04-04,1151.945409,1132.418604,1095.592411
2014-04-07,1155.276798,1130.805344,1096.185201
2014-04-08,1166.639067,1139.175888,1107.271801
2014-04-09,1180.458232,1148.241521,1119.068581
2014-04-10,1180.361418,1161.36734,1120.748695
2014-04-11,1175.782567,1147.91067,1113.292998
2014-04-14,1170.850738,1141.872376,1107.719105
2014-04-15,1173.844281,1151.650851,1114.016351
2014-04-16,1181.227251,1149.374366,1118.307075
2014-04-17,1180.103849,1145.79557,1117.496717
2014-04-18,1183.337706,1147.895463,1120.004821
2014-04-21,1182.267368,1145.709058,1117.667053
2014-04-22,1187.529683,1149.563883,1120.278387
2014-04-23,1188.306258,1146.058696,1120.164383
2014-04-24,1201.6854,1146.740839,1123.488581
2014-04-25,1208.235803,1144.059781,1121.313581
2014-04-28,1198.775401,1140.017159,1116.827089
2014-04-29,1197.115334,1136.446436,1115.808097
2014-04-30,1203.831265,1133.296395,1123.628672
2014-05-01,1204.758646,1133.500425,1124.514239
2014-05-02,1202.122742,1130.656031,1121.852787
2014-05-05,1199.782797,1128.973788,1123.324429
2014-05-06,1202.563913,1133.718152,1123.997832
2014-05-07,1199.510412,1134.846601,1123.032978
2014-05-08,1207.077083,1144.06223,1131.682901
2014-05-09,1196.791405,1146.939174,1124.224983
2014-05-12,1198.366974,1141.788322,1124.691827
2014-05-13,1197.320381,1141.626092,1124.079271
2014-05-14,1217.203724,1158.292216,1143.686878
